,ID,Employment_Status,Employment_Status_Aggregated,Work_as_Contractor_12m,Work_as_Perm,Residence_Country,Residence_District,Residence_District_Aggregated,Work_Company_Country,Work_Company_Continent,Work_Company_PT_International,Work_Company_PT_District,Work_Company_PT_District_Aggregated,Remote_Working_Current,Remote_Working_Current_Flexible_Office_Days,Remote_Working_due_to_Covid,Job_Remote_or_Office,Remote_Work_Opinion,Job_Role_Original,Job_Role_Other,Job_Role,Employer_Industry,Employer_Industry_Other,Employer_Org_Type,Employer_Org_Type_Other,Employer_Size,Language_JavaScript,Language_Bash/Shell/PowerShell,Language_SQL,Language_Java,Language_C#,Language_Python,Language_PHP,Language_C++,Language_C,Language_TypeScript,Language_Ruby,Language_Swift,Language_Objective-C,Language_VB.NET,Language_Assembly,Language_R,Language_Perl,Language_VBA,Language_Matlab,Language_Go,Language_Scala,Language_Groovy,Language_Coffee Script,Language_Visual Basic 6,Language_Lua,Language_Haskell,Language_HTML/CSS,Language_Kotlin,Language_Rust,Language_Elixir,Language_Clojure,Language_WebAssembly,Language_Dart,Language_Languages_N/A,Language_Languages_Other,Framework_jQuery,Framework_.NET,Framework_Angular/Angular.js,Framework_Ruby on Rails,Framework_React,Framework_Django,Framework_Laravel,Framework_Spring,Framework_Vue.js,Framework_Express,Framework_Meteor,Framework_Flask,Framework_Ember.js,Framework_Drupal,Framework_OutSystems,Framework_Framework_N/A,Framework_Framework_Other,Contractor_Avg_Project,Contractor_Avg_Project_Intervals,Contractor_Avg_Hour_Rate,Contractor_Avg_Annual_Salary,Perm_Current_Company_how_long,Perm_GAS,Perm_GAS_Avg,Perm_GAS_Low_Limit,Perm_GAS_High_Limit,Avg_Salary,Salary_Change,Salary_Fairness,Changing_Jobs_next_6_months,Job_Motivator_Work_life_balance,Job_Motivator_Compensation_and_benefits,Job_Motivator_Training/Development_programs_at_work,Job_Motivator_Career_growth_opportunities,Job_Motivator_Remote_working,Job_Motivator_Flexible_schedule,Job_Motivator_Company_culture,Job_Motivator_The_technologies_I'm_working_with,Job_Motivator_Versatility/Variety_of_projects,Job_Motivator_Freedom_to_choose_the_clients_and/or_projects,Job_Motivator_Being_autonomous_at_work,Job_Motivator_How_widely_used_or_impactful_the_product/service_I_work_on_is,Job_Motivator_Environmentally_friendly/responsible_work_practice,Job_Perk_Meals_allowance/Company_provided_meals_or_snacks,Job_Perk_Transportation_benefit,Job_Perk_Health_benefits,Job_Perk_Fitness_or_wellness_benefit_(ex._gym_membership),Job_Perk_Computer/_Office_equipment_allowance,Job_Perk_Professional_development_sponsorship,Job_Perk_Annual_bonus,Job_Perk_Long-term_leave,Job_Perk_Parental_leave,Job_Perk_Stock_options_or_shares,Job_Perk_Education_sponsorship,Job_Perk_Child_care,Citizenship,Birth_Year,Age,Gender,English_Level,Way_Into_Tech,Way_Into_Tech_Other,Education_Level,Working_Experience,Working_Experience_Aggregated
0,1,Employed full-time,Permanent Employee,1.0,,Portugal,Santarém,Centre,Portugal,Europe,Portugal,Lisboa,Lisbon Metropolitan Area,"Yes, fully remote",,Working remote because of Covid-19,Full Office Job,6.0,Technical Team Leader,,Technical Team Leader,Financial and banking,,Corporate,,1000 - 4.999 employees,,,SQL,Java,,,,,,,,,,,,,,VBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More than 3 years,€30.000 - €35.000,32500.0,30000.0,35000.0,32500,Hasn't changed,4,4.0,6,7,6,7,7,7,4,4,5,1,4,5,5,1,7,7,3,7,4,5,4,6,2,7,7,Portuguese,1984.0,37.0,Male,Full professional proficiency,University,,,More than 9 years,6+ years
1,2,Employed full-time,Permanent Employee,0.0,,Portugal,Coimbra,Centre,Portugal,Europe,Portugal,Coimbra,Centre,"Yes, fully remote",,Working remote because of Covid-19,Full Office Job,7.0,Full-Stack Developer,,Full-Stack Developer,Software development - other,,SME - Small or Medium Enterprise (personnel <250),,Less than 10 employees,JavaScript,,SQL,,,,PHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jQuery,,,,,,,,,,,,,,,,,,,,,Between 1 - 3 years,< €15.000,12500.0,0.0,15000.0,12500,Hasn't changed,4,3.0,5,6,5,6,7,7,6,6,6,4,5,3,4,4,4,6,4,7,6,6,5,6,3,6,5,Portuguese,1976.0,45.0,Male,Full professional proficiency,Self-taught,,,More than 9 years,6+ years
2,3,Working as a Contractor/Freelancer,Contractor,,1.0,Portugal,Porto,Porto Metropolitan Area,No specific country,,International,,,"Yes, fully remote",,Working remote because of Covid-19,Full Office Job,4.0,Full-Stack Developer,,Full-Stack Developer,Web development or design,,Startup (new business venture),,Less than 10 employees,JavaScript,,SQL,Java,,,PHP,C++,,,,Swift,,,,,,,,,,,,,,,HTML/CSS,,,,,,,,,jQuery,,,,,,Laravel,,,,,,,,,,,1,Less than 3 months,10.0,16000.0,,,,,,16000,Decreased more than 15%,3,5.0,6,5,5,6,4,4,5,5,6,5,5,6,7,3,5,6,4,6,6,6,6,4,5,5,3,Portuguese,1986.0,35.0,Male,Full professional proficiency,University,,Bachelor degree,Between 1 - 3 years,0 - 3 years
3,4,Employed full-time,Permanent Employee,1.0,,Portugal,Açores,Azores and Madeira,Portugal,Europe,Portugal,Açores,Azores and Madeira,"Yes, fully remote",,Working remote because of Covid-19,Full Office Job,5.0,Product Owner/Product Manager,,Product Owner/Product Manager,Web development or design,,SME - Small or Medium Enterprise (personnel <250),,100 - 499 employees,JavaScript,,,,,,,C++,,TypeScript,,,,,,,,,,,,,,,,,HTML/CSS,,,,,,,,,,,,,React,,,,,,,,,,,,REACT,,,,,Between 1 - 3 years,€15.000 - €20.000,17500.0,15000.0,20000.0,17500,"]0%, 5%]",4,3.0,6,6,7,6,7,7,6,7,5,2,4,3,6,3,3,6,6,6,6,7,5,7,2,5,6,Portuguese,1975.0,46.0,Male,Full professional proficiency,University,,Bachelor degree,More than 9 years,6+ years
4,5,Employed full-time,Permanent Employee,0.0,,Portugal,Braga,North,Portugal,Europe,Portugal,Braga,North,"Yes, fully remote",,My job is remote (full or flexible) by definition,Remote Job (full or flexible),5.0,Back-End Developer,,Back-End Developer,Software development - other,,SME - Small or Medium Enterprise (personnel <250),,10 - 19 employees,JavaScript,,SQL,Java,C#,,,C++,,TypeScript,,,,VB.NET,,,,,,,,,,Visual Basic 6,,,,,,,,,Dart,,,,.NET,Angular/Angular.js,,React,,,,,Express,,,,,,,,,,,,More than 3 years,€15.000 - €20.000,17500.0,15000.0,20000.0,17500,Increased more than 15%,5,2.0,7,7,7,4,5,5,4,7,5,7,7,4,7,5,7,6,6,7,5,7,5,7,6,4,4,Portuguese,1989.0,32.0,Male,Professional working proficiency,University,,Bachelor degree,Between 6 - 9 years,6+ years
5,6,Employed full-time,Permanent Employee,1.0,,Portugal,Viseu,Centre,Portugal,Europe,Portugal,Viseu,Centre,"No, full office job",,,Full Office Job,7.0,Mobile Apps Developer,,Mobile Apps Developer,Consulting,,Consulting Business,,1000 - 4.999 employees,,,,,,,,,,,,Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alamofire,,,,,Between 1 - 3 years,€15.000 - €20.000,17500.0,15000.0,20000.0,17500,"]0%, 5%]",2,5.0,7,7,7,7,7,7,5,7,7,4,7,7,5,7,7,7,7,7,7,7,7,7,7,7,5,Portuguese,1995.0,26.0,Male,Native or bilingual proficiency,,Internship and self taught,High School Education,Between 1 - 3 years,0 - 3 years
6,7,Employed full-time,Permanent Employee,0.0,,Portugal,Aveiro,Centre,Portugal,Europe,Portugal,Aveiro,Centre,Flexible between remote and office,4.0,Working remote because of Covid-19,Full Office Job,7.0,Front-End Developer,,Front-End Developer,Retail or ecommerce,,Corporate,,More than 5.000 employees,,,,Java,,,,,,TypeScript,,,,,,,,,,,,,,,,,HTML/CSS,,,,,,,,,,,Angular/Angular.js,,,,,Spring,,,,,,,,,,,,,,Between 1 - 3 years,€25.000 - €30.000,27500.0,25000.0,30000.0,27500,"]5%,15%]",3,5.0,7,7,7,7,7,7,4,6,7,5,6,1,1,5,1,6,1,7,7,7,5,1,4,4,1,Portuguese,1991.0,30.0,Female,Full professional proficiency,University,,Bachelor degree,Between 3 - 6 years,3 - 6 years
7,8,Employed full-time,Permanent Employee,1.0,,Portugal,Santarém,Centre,Portugal,Europe,Portugal,Lisboa,Lisbon Metropolitan Area,"Yes, fully remote",,Working remote because of Covid-19,Full Office Job,6.0,Full-Stack Developer,,Full-Stack Developer,Consulting,,Consulting Business,,500 - 999 employees,JavaScript,,SQL,,C#,,,,,,,,,,,,,,,,,,,,,,HTML/CSS,,,,,,,,,,.NET,,,,,,,,,,,,,,,,,,,,More than 3 years,€20.000 - €25.000,22500.0,20000.0,25000.0,22500,Hasn't changed,1,4.0,6,6,3,4,5,5,5,3,3,2,4,4,3,5,3,6,2,4,5,5,3,7,4,6,6,Portuguese,1983.0,38.0,Male,Native or bilingual proficiency,University,,Bachelor degree,More than 9 years,6+ years
8,9,Employed full-time,Permanent Employee,1.0,,Portugal,Viseu,Centre,Portugal,Europe,Portugal,Viseu,Centre,"Yes, fully remote",,Working remote because of Covid-19,Full Office Job,7.0,Full-Stack Developer,,Full-Stack Developer,Web development or design,,Consulting Business,,1000 - 4.999 employees,JavaScript,,SQL,Java,,,,,,TypeScript,,,,,,,,,,,,,,,,,HTML/CSS,,,,,,,,,,,Angular/Angular.js,,,,,Spring,,,,,,,,,Moleculer.JS,,,,,Between 1 - 3 years,< €15.000,12500.0,0.0,15000.0,12500,Hasn't changed,1,3.0,5,6,5,7,5,5,5,6,5,4,3,4,6,5,5,5,5,7,5,6,5,5,4,4,4,Portuguese,1997.0,24.0,Male,Limited working proficiency,University,,Bachelor degree,Between 1 - 3 years,0 - 3 years
9,10,Employed full-time,Permanent Employee,1.0,,Portugal,Lisboa,Lisbon Metropolitan Area,UK,Europe,International,,,"Yes, fully remote",,My job is remote (full or flexible) by definition,Remote Job (full or flexible),7.0,Project Manager,,Project Manager,Financial and banking,,Consulting Business,,1000 - 4.999 employees,JavaScript,,SQL,Java,,,,,,,,,,,,,,VBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More than 3 years,€25.000 - €30.000,27500.0,25000.0,30000.0,27500,Hasn't changed,3,5.0,6,6,6,6,7,6,6,6,6,4,4,6,6,6,4,7,6,6,6,6,4,4,4,5,6,Portuguese,1982.0,39.0,Female,Full professional proficiency,University,,Bachelor degree,More than 9 years,6+ years
